column_name,business_meaning,raw_dtype,expected_dtype,unit,allowed_values,missing_meaning,cleaning_rule,quality_risk,owner
cat2_slug,شناسه رده اصلی بازار در منبع.,String,String,none,residential-sell | commercial-sell | residential-rent | commercial-rent | temporary-rent | real-estate-services,مقدار خام اصولاً الزامی است؛ Missing نشان‌دهنده نقص منبع یا خطای ورود داده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,تغییر دامنه منبع، برچسب ناشناخته، Missing بالا یا ناسازگاری بین رده‌ها.,Phase 1 - Data Audit
cat3_slug,شناسه رده جزئی آگهی در منبع.,String,String,none,source-controlled slug domain | null where permitted,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,تغییر دامنه منبع، برچسب ناشناخته، Missing بالا یا ناسازگاری بین رده‌ها.,Phase 1 - Data Audit
city_slug,شناسه متنی شهر در منبع.,String,String,none,source-controlled slug domain | null where permitted,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,تغییر دامنه منبع، برچسب ناشناخته، Missing بالا یا ناسازگاری بین رده‌ها.,Phase 1 - Data Audit
neighborhood_slug,شناسه متنی محله در منبع.,String,String,none,source-controlled slug domain | null where permitted,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,تغییر دامنه منبع، برچسب ناشناخته، Missing بالا یا ناسازگاری بین رده‌ها.,Phase 1 - Data Audit
created_at_month,زمان ماهانه ثبت آگهی به‌صورت متن خام.,String,String,UTC_timestamp_or_source_datetime,datetime text matching %Y-%m-%d %H:%M:%S,مقدار خام اصولاً الزامی است؛ Missing نشان‌دهنده نقص منبع یا خطای ورود داده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,تغییر دامنه منبع، برچسب ناشناخته، Missing بالا یا ناسازگاری بین رده‌ها.,Phase 1 - Data Audit
user_type,نوع ثبت‌کننده آگهی، مانند شخصی یا کسب‌وکار.,String,String,none,source-controlled categorical or text domain | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,تغییر دامنه منبع، برچسب ناشناخته، Missing بالا یا ناسازگاری بین رده‌ها.,Phase 1 - Data Audit
description,متن توضیحات آگهی.,String,String,none,free text; UTF-8; empty/null permitted only as observed in source,مقدار خام اصولاً الزامی است؛ Missing نشان‌دهنده نقص منبع یا خطای ورود داده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,متن آزاد، نویسه‌های فارسی/عربی، تبلیغات، اطلاعات متناقض و ریسک حریم خصوصی.,Phase 1 - Data Audit
title,عنوان آگهی.,String,String,none,free text; UTF-8; empty/null permitted only as observed in source,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,متن آزاد، نویسه‌های فارسی/عربی، تبلیغات، اطلاعات متناقض و ریسک حریم خصوصی.,Phase 1 - Data Audit
rent_mode,حالت اجاره: مقطوع، توافقی یا مجانی.,String,String,none,مقطوع | توافقی | مجانی | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,تغییر دامنه منبع، برچسب ناشناخته، Missing بالا یا ناسازگاری بین رده‌ها.,Phase 1 - Data Audit
rent_value,مبلغ اجاره ماهانه خام.,String,String,toman_per_month,numeric text >= 0; Persian/Arabic/ASCII digits and separators may occur,مؤلفه قیمت برای رژیم آگهی موضوعیت ندارد، ثبت نشده، یا توافقی است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,واحد پول در مستند منبع تأیید نشده؛ احتمال توافقی/مجانی، جداکننده و رقم فارسی/عربی؛ قیمت‌ها پیشنهادی‌اند.,Phase 1 - Data Audit
