measure_id,measure_name,display_folder,page_ids,home_table,dax_expression,format_string,aggregation_or_filter_behavior,reliability_gate,semantic_note
CTL_001,Selected Min Valid N,00 Controls,P01;P03;P04;P05;P06;P07;P08,z_Measures,"SELECTEDVALUE(p_MinValidN[MinValidN], 30)",0,Disconnected display threshold,Never lowers canonical reliability thresholds,Default 30.
CTL_002,Active Location Level,00 Controls,P01;P04,z_Measures,"VAR NeighborhoodFiltered = ISFILTERED(dim_location[neighborhood_slug])
VAR CityFiltered = ISFILTERED(dim_location[city_slug])
RETURN
    SWITCH(TRUE(), NeighborhoodFiltered, ""neighborhood"", CityFiltered, ""city"", ""national"")",General,Chooses one aggregate level to prevent double counting,City/Neighborhood slicers should be single-select or All,Critical: never sum national + city + neighborhood rows together.
MKT_001,Trend Supply Listings,01 Market Trends,P01;P04,z_Measures,"VAR Level = [Active Location Level]
RETURN
    CALCULATE(
        SUM(mart_market_monthly[deduplicated_listing_count]),
        KEEPFILTERS(mart_market_monthly[series_kind] = ""price_and_supply""),
        KEEPFILTERS(mart_market_monthly[entity_level] = Level)
    )","#,##0",Additive only within one selected entity level,series_kind=price_and_supply,Deduplicated apartment-sale listing activity.
MKT_002,Trend Raw Supply Listings,01 Market Trends,P04,z_Measures,"VAR Level = [Active Location Level]
RETURN
    CALCULATE(
        SUM(mart_market_monthly[raw_listing_count]),
        KEEPFILTERS(mart_market_monthly[series_kind] = ""price_and_supply""),
        KEEPFILTERS(mart_market_monthly[entity_level] = Level)
    )","#,##0",Additive only within one selected entity level,series_kind=price_and_supply,Raw pre-dedup listing activity.
MKT_003,Trend Valid Price Listings,01 Market Trends,P01;P04,z_Measures,"VAR Level = [Active Location Level]
RETURN
    CALCULATE(
        SUM(mart_market_monthly[price_listing_n]),
        KEEPFILTERS(mart_market_monthly[series_kind] = ""price_and_supply""),
        KEEPFILTERS(mart_market_monthly[entity_level] = Level)
    )","#,##0",Single month/location grain after filters,Price reliability context,Validated asking-price-per-sqm row count.
MKT_004,Trend Median Asking PSM,01 Market Trends,P01;P04,z_Measures,"VAR Level = [Active Location Level]
RETURN
    CALCULATE(
        MAX(mart_market_monthly[median_asking_price_per_sqm_toman]),
        KEEPFILTERS(mart_market_monthly[series_kind] = ""price_and_supply""),
        KEEPFILTERS(mart_market_monthly[entity_level] = Level)
    )","#,##0",Non-additive median; use with month axis or single selected/latest month,Use [Trend Price Eligible],"Toman operational unit; asking price, not transaction price."
MKT_005,Trend Supply MoM %,01 Market Trends,P04,z_Measures,"VAR Level = [Active Location Level]
RETURN
    CALCULATE(
        MAX(mart_market_monthly[deduplicated_supply_mom_pct]),
        KEEPFILTERS(mart_market_monthly[series_kind] = ""price_and_supply""),
        KEEPFILTERS(mart_market_monthly[entity_level] = Level)
    )",0.0\%,Precomputed percentage points,Consecutive-month upstream logic,Do not average across arbitrary groups.
MKT_006,Trend Price MoM %,01 Market Trends,P04,z_Measures,"VAR Level = [Active Location Level]
RETURN
    CALCULATE(
        MAX(mart_market_monthly[median_price_mom_pct]),
        KEEPFILTERS(mart_market_monthly[series_kind] = ""price_and_supply""),
        KEEPFILTERS(mart_market_monthly[entity_level] = Level)
    )",0.0\%,Precomputed percentage points,Upstream price reliability,Do not interpret low-N points.
MKT_007,Trend Duplicate Reduction %,01 Market Trends,P04,z_Measures,"VAR Level = [Active Location Level]
RETURN
    CALCULATE(
        MAX(mart_market_monthly[duplicate_supply_reduction_rate]),
        KEEPFILTERS(mart_market_monthly[series_kind] = ""price_and_supply""),
        KEEPFILTERS(mart_market_monthly[entity_level] = Level)
    )",0.0%,Source value is a ratio,Conservative same-month dedup,Cross-month repeats remain retained.
MKT_008,Trend Price Eligible,01 Market Trends,P04,z_Measures,"VAR Level = [Active Location Level]
VAR UserMin = [Selected Min Valid N]
VAR N = CALCULATE(MAX(mart_market_monthly[price_listing_n]), KEEPFILTERS(mart_market_monthly[series_kind] = ""price_and_supply""),
        KEEPFILTERS(mart_market_monthly[entity_level] = Level))
VAR Reliable = CALCULATE(MAX(mart_market_monthly[price_reliable_flag]), KEEPFILTERS(mart_market_monthly[series_kind] = ""price_and_supply""),
        KEEPFILTERS(mart_market_monthly[entity_level] = Level))
RETURN IF(Reliable = TRUE() && N >= UserMin, 1, 0)",0,Display gate,Canonical price_reliable_flag AND selected N,Never turns an upstream unreliable row into reliable.
MKT_009,Latest Supply Listings,01 Market Trends,P01,z_Measures,"VAR LatestMonth = MAXX(ALLSELECTED(dim_month), dim_month[month_key])
RETURN CALCULATE([Trend Supply Listings], KEEPFILTERS(dim_month[month_key] = LatestMonth))","#,##0",Latest selected/core month,Same as Trend Supply Listings,For executive KPI.
MKT_010,Latest Valid Price Listings,01 Market Trends,P01,z_Measures,"VAR LatestMonth = MAXX(ALLSELECTED(dim_month), dim_month[month_key])
RETURN CALCULATE([Trend Valid Price Listings], KEEPFILTERS(dim_month[month_key] = LatestMonth))","#,##0",Latest selected/core month,Same as Trend Valid Price Listings,For executive KPI.
MKT_011,Latest Median Asking PSM,01 Market Trends,P01,z_Measures,"VAR LatestMonth = MAXX(ALLSELECTED(dim_month), dim_month[month_key])
RETURN CALCULATE([Trend Median Asking PSM], KEEPFILTERS(dim_month[month_key] = LatestMonth))","#,##0",Latest selected/core month,Same as Trend Median Asking PSM,For executive KPI.
LOC_001,Location Asking PSM,02 Location & Temperature,P03,z_Measures,MAX(mart_location_market[median_asking_price_per_sqm_toman]),"#,##0",One location row,Use [Location Price Eligible],Asking price per sqm in Toman.
LOC_002,Location Price N,02 Location & Temperature,P03,z_Measures,MAX(mart_location_market[valid_price_n]),"#,##0",One location row,,
LOC_003,Location Price Eligible,02 Location & Temperature,P01;P03,z_Measures,"VAR UserMin = [Selected Min Valid N]
VAR N = MAX(mart_location_market[valid_price_n])
VAR CanonicalMin = COALESCE(MAX(mart_location_market[minimum_n_threshold]), 0)
VAR RequiredN = MAX(UserMin, CanonicalMin)
VAR Reliable = MAX(mart_location_market[reliable_flag])
RETURN IF(Reliable = TRUE() && N >= RequiredN, 1, 0)",0,Display gate,"Canonical reliable_flag plus max(user N, canonical N)",User cannot weaken canonical map reliability.
