page_id,visual_id,visual_title,visual_type,source_tables,category_or_axis,measures_or_values,fixed_visual_filters,reliability_rule,notes
P01,P01_K01,Latest Deduplicated Supply Listings,Card,mart_market_monthly,,[Latest Supply Listings],series_kind=price_and_supply,location level selected by DAX,Apartment-sale listing activity.
P01,P01_K02,Latest Valid Price Listings,Card,mart_market_monthly,,[Latest Valid Price Listings],series_kind=price_and_supply,[Trend Price Eligible]=1 when interpreting price,Sample context.
P01,P01_K03,Latest Median Asking Price per Sqm (Toman),Card,mart_market_monthly,,[Latest Median Asking PSM],series_kind=price_and_supply,use only with valid price N/reliability,"Asking price, not transaction price."
P01,P01_K04,Reliable Neighborhoods,Card,mart_location_market,,[Reliable Neighborhood Count],entity_level=neighborhood;price_map_available=True,canonical reliable_flag + selected N,Count of display-eligible price-map neighborhoods.
P01,P01_K05,Pipeline Readiness,Card,dashboard_quality_status,,[Pipeline Readiness Status],,all core components ready; REVIEW retained,Show READY / REVIEW when M2 has documented non-critical review.
P01,P01_V01,Monthly Supply and Asking-Price Snapshot,Line and clustered column,mart_market_monthly,dim_month[month_label],[Trend Supply Listings];[Trend Median Asking PSM],series_kind=price_and_supply,flag/hide low-N price points,Compact overview only; detailed trend is P04.
P01,P01_V02,Top 5 HOT Neighborhoods,Table,mart_location_market,dim_location[location_display_name],[Temperature Score];[Temperature Sample N],entity_level=neighborhood;label=HOT;is_four_city=True;Temperature Eligible=1;TopN=5 DESC,canonical temperature gate + selected N,Final presentation view; not all-city analytical population.
P01,P01_V03,Top 5 COLD Neighborhoods,Table,mart_location_market,dim_location[location_display_name],[Temperature Score];[Temperature Sample N],entity_level=neighborhood;label=COLD;is_four_city=True;Temperature Eligible=1;TopN=5 by [Cold Sort Score] DESC,canonical temperature gate + selected N,Display most negative scores; same final presentation pool.
P02,P02_K01,Pipeline Readiness Status,Card,dashboard_quality_status,,[Pipeline Readiness Status],,,Separate readiness from PASS/REVIEW.
P02,P02_K02,Gold QA Status,Card,dashboard_quality_status,,[Gold QA Status],component=Gold QA,,Expected PASS before dashboard release.
P02,P02_K03,Critical Failures,Card,dashboard_quality_status,,[Quality Critical Failures],,,Must be zero.
P02,P02_K04,Review Items,Card,dashboard_quality_status,,[Quality Review Count],,,"Reviews are surfaced, not hidden."
P02,P02_V01,Pipeline Component Status,Matrix,dashboard_quality_status,stage;component,overall_status;ready;critical_failures;review_count;sample_n,,,Include source_manifest in tooltip/details.
P03,P03_V01,Reliable Neighborhood Asking Price per Sqm,Bar,mart_location_market,dim_location[location_display_name],[Location Asking PSM];[Location Price N],entity_level=neighborhood;price_map_available=True;[Location Price Eligible]=1,reliable_flag + selected/canonical N,Sort by asking PSM; display Toman/unit note.
P03,P03_V02,Reliable Neighborhood Price Map,Map/Azure Map (text geocode),mart_location_market;dim_location,dim_location[Geocode Location],[Location Asking PSM],entity_level=neighborhood;price_map_available=True;[Location Price Eligible]=1,same as price ranking,"Do not add exact coordinates. If neighborhood geocoding is weak, fall back to city map + exact ranking table."
P03,P03_V03,Listing-Market Temperature,Bar,mart_location_market,dim_location[location_display_name],[Temperature Score];[Temperature Sample N],temperature_available=True;[Temperature Eligible]=1,canonical months/N gate + selected N,Proxy only; tooltip includes price/activity trends.
P04,P04_V01,Monthly Supply & MoM Change,Line and clustered column,mart_market_monthly,dim_month[month_label],[Trend Supply Listings];[Trend Supply MoM %],series_kind=price_and_supply,,Deduplicated listing activity.
P04,P04_V02,Monthly Asking Price & MoM Change,Line and clustered column,mart_market_monthly,dim_month[month_label],[Trend Median Asking PSM];[Trend Price MoM %],series_kind=price_and_supply,[Trend Price Eligible]=1 or flag low-N points,Asking-price median per sqm.
P04,P04_V03,Raw vs Deduplicated Supply Context,Line/Column (optional),mart_market_monthly,dim_month[month_label],[Trend Raw Supply Listings];[Trend Supply Listings],series_kind=price_and_supply,,Evidence of conservative dedup effect; optional if space permits.
P05,P05_K01,Primary Test R² (log),Card,mart_model_quality,,[Primary Test R2 Log],record_type=primary_diagnostics;model=ridge;split=test,,Held-out test.
P05,P05_K02,Primary Test Median APE,Card,mart_model_quality,,[Primary Test Median APE %],same,,Held-out test.
P05,P05_K03,Within 30% Error Band,Card,mart_model_quality,,[Primary Test Within 30 %],same,,Held-out test.
P05,P05_V01,Adjusted Asking-Price Association by Property Characteristic,Bar with error bars,mart_price_driver_effects,feature_display_name,[Driver Adjusted Effect %];[Driver CI Low %];[Driver CI High %],,sample_n + model metadata,"Association/contrast, not “share in price” and not causal."
P05,P05_V02,Held-out Predictive Contribution — Permutation Importance,Bar with error bars,mart_price_driver_importance,feature_or_block_name,[Permutation Importance];[Permutation Importance SD],,sample_n,Grouped location/property blocks are controls; predictive contribution is non-causal.
P05,P05_V03,AVM Error Analysis (Reliable Segments),Table/Matrix,mart_model_quality,error_scope;city_slug;property_family,median_ape_pct;p75_ape_pct;p90_ape_pct;n,record_type=avm_error_segment;reliability_status=RELIABLE,,Bonus evidence; keep small and secondary.
P06,P06_K01,Adjusted Agency–Personal Difference,Card,mart_seller_type,,[Seller Adjusted Difference %],,sample_size,Observational adjusted contrast.
P06,P06_K02,Adjusted 95% Interval,Multi-row card,mart_seller_type,,[Seller Adjusted CI Low %];[Seller Adjusted CI High %],,,Do not call causal confidence interval.
P06,P06_K03,Selected User Listings,Card,mart_seller_type;dim_user_type,,[Selected Seller Listing N],,descriptive only,Makes the disconnected User Type slicer useful without changing the fixed adjusted contrast.
P06,P06_K04,Selected User Median Asking PSM,Card,mart_seller_type;dim_user_type,,[Selected Seller Median Asking PSM],,descriptive only,Blank when User Type=All because a combined median is not published.
P06,P06_V01,Raw vs Adjusted Agency–Personal Difference,Column,mart_seller_type,comparison,[Seller Raw Difference %];[Seller Adjusted Difference %],,,Keep both to show confounding adjustment.
