table_name,table_type,source_path,grain_or_key,primary_pages,semantic_role,model_role,notes
mart_market_monthly,mart,data/gold/marts/mart_market_monthly.parquet,analysis_month;entity_level;location_key;market_scope,P01;P04,Monthly apartment-sale asking-price + deduplicated listing-activity series; also contains supply-only residential/all-market series.,related,Primary trend measures must select entity_level based on City/Neighborhood context to avoid double counting national/city/neighborhood aggregates.
mart_location_market,mart,data/gold/marts/mart_location_market.parquet,entity_level;location_key,P01;P03,Merged location price map + Listing-Market Temperature proxy.,related,"Price map is apartment-sale. Temperature is a proxy for asking-price plus listing-activity trends, not liquidity/absorption."
mart_price_driver_effects,mart,data/gold/marts/mart_price_driver_effects.parquet,feature_id,P05,Fixed held-out model-implied adjusted associations/contrasts.,disconnected_fact,Do not imply causal effects or recompute estimates from BI slicers.
mart_price_driver_importance,mart,data/gold/marts/mart_price_driver_importance.parquet,feature_or_block_id,P05,"Held-out permutation predictive contribution, including grouped location/property blocks.",disconnected_fact,Predictive importance is not causal importance.
mart_model_quality,mart,data/gold/marts/mart_model_quality.parquet,model_quality_key,P05,"Primary Ridge diagnostics, fair model benchmark, and held-out AVM error analysis.",disconnected_fact,"Research/interpretable AVM evidence, not a production valuation guarantee."
mart_seller_type,mart,data/gold/marts/mart_seller_type.parquet,comparison,P06,One fixed agency-vs-personal adjusted comparison.,related_regime_only,dim_user_type is intentionally disconnected; user selection is semantic and must not refit the estimate.
mart_text_signals,mart,data/gold/marts/mart_text_signals.parquet,keyword_family,P07,Six manually validated text-signal adjusted associations.,related_regime_only,Adjusted effects are fixed sale-population estimates.
mart_text_monthly,mart,data/gold/marts/mart_text_monthly.parquet,month_key;keyword_family,P07,Monthly prevalence of six validated keyword families.,related,"Month filters affect prevalence only, not fixed adjusted text effects."
mart_segment_profile,mart,data/gold/marts/mart_segment_profile.parquet,segment_id,P08,Five final Market Types / Descriptive Typology profiles.,related_property_only,Do not relabel fallback market types as stable statistical clusters.
mart_segment_monthly_mix,mart,data/gold/marts/mart_segment_monthly_mix.parquet,month_key;segment_id,P08,Monthly mix of final segment assignments.,related_month_only,"Shares describe listing composition, not transitions or causality."
dim_location,dimension,data/gold/dimensions/dim_location.parquet,location_key,P01;P03;P04,Conformed national/city/neighborhood location hierarchy; contains is_four_city.,one_side,Use city_display_name and neighborhood_display_name for slicers; no exact coordinates.
dim_month,dimension,data/gold/dimensions/dim_month.parquet,month_key,P01;P04;P07;P08,Conformed monthly dimension for May-Dec 2024 analytical window.,one_side,Sort month_label by chronological_sort.
dim_property,dimension,data/gold/dimensions/dim_property.parquet,property_key,P04;P08,Conformed property family/category dimension.,one_side,property_type may be null; use property_display_name/property_family.
dim_price_regime,dimension,data/gold/dimensions/dim_price_regime.parquet,price_regime_key,P01;P03;P04;P06;P07,All canonical price-regime states and observation/currency metadata.,one_side,Many final analytical marts are sale-only; do not imply cross-regime comparability.
dim_user_type,dimension_semantic_only,data/gold/dimensions/dim_user_type.parquet,user_type_key,P06,Agency/personal semantic selection table.,disconnected,No physical relationship by design. Use only semantic selection measures on P06.
dashboard_quality_status,metadata,data/gold/metadata/dashboard_quality_status.csv,stage;component,P01;P02,"M1-M4 component status/readiness metadata, including Gold Build/QA.",disconnected_metadata,"M2 REVIEW with ready=True is a documented non-critical limitation, not a failure."
p_MinValidN,calculated_parameter,Power BI calculated table,MinValidN,P01;P03;P04;P05;P06;P07;P08,Disconnected user-selected display threshold.,disconnected,"Must never weaken canonical reliability thresholds; measures use max(user threshold, canonical threshold)."
z_Measures,calculated_helper,Power BI calculated table,_,all,Measure container only.,disconnected,Hide placeholder column; this is not part of the Gold 10+5 contract.
